id,qualified_professionals,high_school,middle_school_or_lower
1117,"9,671","21,695","9,919"
1119,"57,585","29,259","11,714"
1121,"1,500","3,443","1,657"
1123,"7,330","19,975","11,304"
1125,"5,006","10,201","5,886"
1127,"36,170","37,364","14,604"
1129,"4,811","16,706","9,786"
1131,"1,109","5,278","2,335"
1133,841,"3,342","1,499"
2000,"2,261","5,932","4,145"
2013,"135,525","130,511","36,032"
2016,304,"1,070",398
2020,652,"1,674",520
2050,"65,657","45,857","12,854"
2060,"1,085","4,315","1,815"
2068,124,226,48
2070,579,351,57
2090,496,"1,041",373
2100,"20,431","13,587","3,433"
2232,747,474,84
2110,383,535,149
2122,"8,789","4,724",975
2201,"9,363","12,727","2,874"
2150,"2,241","2,993",751
2270,"2,236","2,454",840
2164,181,"1,970",814
2170,104,355,114
2180,"12,920","19,980","4,768"
2185,752,"2,329",815
2188,896,"2,391",735
2195,435,"1,817",844
2130,529,713,161
2220,683,"1,692",410
2230,"2,037","1,617",463
2240,272,201,28
2261,863,"1,502",416
2280,"1,885","1,712",452
2282,358,606,210
2290,89,184,25
4000,434,"1,414",606
4001,"1,241,425","1,078,358","611,243"
4003,"4,828","14,622","9,499"
4005,"20,423","20,470","11,823"
4007,"27,477","17,352","8,904"
4009,"6,839","11,057","6,065"
4011,"3,064","7,573","3,353"
4012,704,"2,124",701
4013,"1,604","5,601","3,818"
4015,"827,615","613,123","348,801"
4017,"18,045","54,670","24,527"
4019,"9,864","20,654","12,588"
4021,"204,172","149,775","81,218"
4023,"49,839","78,792","40,697"
4025,"6,474","7,530","7,255"
4027,"42,311","42,735","16,285"
5000,"18,166","32,280","35,709"
5001,"424,446","683,886","292,228"
5003,"1,839","5,173","2,228"
5005,"1,948","5,697","2,309"
5007,"5,576","10,799","4,018"
5009,"48,781","48,410","20,270"
5011,"3,912","9,033","3,926"
5013,"1,079","3,143","1,526"
5015,445,"1,838",621
5017,"3,446","6,804","3,153"
5019,"1,015","3,248","1,540"
5021,"3,248","4,056","1,770"
5023,"1,227","4,586","2,258"
5025,"2,895","7,188","3,140"
5027,907,"2,529",799
5029,"3,296","5,901","2,231"
5031,"2,456","6,140","2,182"
5033,"16,618","22,404","7,886"
5035,"5,612","16,556","6,097"
5037,"5,401","11,049","5,661"
5039,"1,712","5,107","2,246"
5041,685,"2,640",894
5043,"1,056","3,179","1,912"
5045,"2,297","4,273","2,124"
5047,"21,251","22,373","6,516"
5049,"1,567","4,916","2,270"
5051,983,"3,624","1,433"
5053,"14,352","21,804","8,101"
5055,"2,455","5,149","1,235"
5057,"4,770","12,468","4,278"
5059,"1,864","5,612","3,153"
5061,"3,166","9,773","3,317"
5063,"1,427","3,063","1,867"
5065,"4,406","9,387","3,879"
5067,"1,241","4,083","1,610"
5069,"1,086","5,284","2,938"
5071,"8,164","18,473","7,556"
5073,"2,718","7,348","3,579"
5075,694,"2,169","1,003"
5077,"1,534","4,707","2,089"
5079,566,"2,675","2,132"
5081,786,"5,061","2,110"
5083,867,"3,620","1,249"
5085,"1,988","6,709","2,629"
5087,"9,065","15,738","5,536"
5089,"1,226","5,098","2,125"
5091,"1,915","4,930","1,752"
5093,"4,271","11,555","4,263"
5095,"3,551","10,348","5,506"
5097,475,"2,188","1,145"
5099,844,"2,390","1,364"
5101,906,"2,709","1,015"
5103,874,"2,397","1,154"
5105,"2,855","7,322","2,376"
5107,762,"3,086","1,274"
5109,"1,475","3,976","2,986"
5111,"1,142","2,736","1,427"
5113,"1,563","6,930","3,474"
5115,"1,729","5,206","2,218"
5117,"8,459","13,392","6,557"
5119,781,"2,602","1,057"
5121,"86,671","71,330","26,088"
5123,"1,679","4,707","2,052"
5125,"1,929","7,187","4,088"
5127,"19,571","26,685","8,565"
5129,756,"2,748","1,685"
5131,848,"2,470",906
5133,"15,763","26,766","14,700"
5135,998,"3,676","3,233"
5137,"1,240","5,304","2,061"
5139,"1,321","3,205","2,146"
5141,"5,275","9,865","4,458"
5143,"1,691","5,611","1,946"
5145,"41,124","36,262","20,867"
5147,"9,765","19,271","8,062"
5149,495,"2,202","1,186"
6000,"2,091","5,943","3,221"
6001,"8,176,487","5,260,904","4,572,963"
6003,"488,594","200,371","141,393"
6005,235,257,70
6007,"6,184","7,693","3,351"
6009,"37,753","32,775","16,950"
6011,"6,845","9,215","3,248"
6013,"1,932","2,926","4,278"
6015,"303,182","136,792","82,371"
6017,"2,891","5,963","3,461"
6019,"42,977","28,356","9,608"
6021,"114,275","131,710","151,875"
6023,"2,269","4,978","4,903"
6025,"25,658","22,486","8,794"
6027,"15,029","24,204","35,505"
6029,"3,241","4,131","1,526"
6031,"81,269","141,208","136,966"
6033,"11,743","24,250","24,929"
6035,"7,468","12,861","7,528"
6037,"2,861","7,050","4,245"
6039,"2,064,911","1,387,980","1,495,617"
6041,"12,496","24,649","26,930"
6043,"108,293","21,372","13,078"
6045,"3,065","3,839","1,426"
6047,"14,847","16,158","8,299"
6049,"21,041","38,871","48,345"
6051,"1,221","1,810",908
6053,"2,846","1,671","1,486"
6055,"63,970","55,086","78,716"
6057,"32,135","18,273","15,651"
6059,"25,570","14,568","4,956"
6061,"807,572","365,923","325,372"
6063,"94,689","49,288","14,879"
6065,"3,181","3,459","1,173"
6067,"311,245","380,286","286,746"
6069,"286,583","219,244","129,386"
6071,"6,949","9,032","7,957"
6073,"249,922","339,210","274,381"
6075,"788,922","406,630","293,959"
6077,"366,564","83,389","84,024"
6079,"80,297","117,820","97,333"
6081,"62,786","35,704","18,206"
6083,"251,961","85,392","60,898"
6085,"87,141","48,376","53,932"
6087,"630,862","189,751","166,105"
6089,"68,386","27,143","23,995"
6091,"25,161","31,880","12,539"
6093,471,632,261
6095,"7,029","8,070","3,627"
6097,"72,669","68,047","36,163"
6099,"115,942","68,113","44,790"
6101,"54,738","93,254","74,176"
6103,"10,968","14,950","12,742"
6105,"5,912","13,316","7,319"
6107,"2,044","3,305",951
6109,"36,813","66,719","83,735"
6111,"8,034","11,648","4,154"
6113,"178,811","104,194","92,033"
6115,"48,925","23,506","17,555"
8000,"7,109","11,120","8,159"
8001,"1,389,730","780,033","323,691"
8003,"67,888","86,439","54,142"
8005,"2,408","2,275","1,509"
8007,"168,306","85,125","31,745"
8009,"3,184","2,334",787
8011,572,774,360
8013,445,"2,131",739
8014,"120,069","26,067","11,212"
8015,"22,243","6,381","1,674"
8017,"4,945","3,765","1,195"
8019,308,450,124
8021,"3,196","1,459",220
8023,970,"1,675",847
8025,523,688,601
8027,383,"1,510",641
8029,985,731,278
8031,"4,265","8,028","2,608"
8033,"214,085","82,555","63,865"
8035,271,517,122
8037,"116,939","24,983","4,235"
8039,"16,480","6,552","4,092"
8041,"5,560","4,422",607
8043,"154,662","86,947","25,597"
8045,"5,957","14,241","4,095"
8047,"11,026","10,861","4,945"
8049,"1,510","1,068",88
8051,"3,991","2,764",459
8053,"5,304","1,829",469
8055,287,160,36
8057,"1,338","1,412",446
8059,189,369,121
8061,"166,867","82,567","23,112"
8063,191,332,67
8065,804,"2,212",957
8067,"1,576","1,712",366
8069,"16,279","7,309","1,967"
8071,"95,248","40,732","9,110"
8073,"1,963","3,063","1,475"
8075,558,"2,029",603
8077,"2,453","5,023","1,564"
8079,"26,095","29,254","10,161"
8081,303,150,24
8083,"1,637","3,466",774
8085,"4,919","5,374","1,789"
8087,"6,885","9,292","3,245"
8089,"2,928","5,773","3,458"
8091,"2,113","3,511","1,754"
8093,"2,050",683,83
8095,"3,904","3,334",474
8097,619,982,331
8099,"8,149","1,856",619
8101,"1,204","2,157","1,357"
8103,"23,105","31,853","12,787"
8105,931,"1,431",348
8107,"1,762","2,140","1,298"
8109,"8,589","3,754",601
8111,"1,128","1,164",849
8113,130,149,21
8115,"3,175",855,394
8117,337,575,150
8119,"10,939","3,725","1,171"
8121,"5,724","4,458",991
8123,541,"1,154",294
8125,"46,908","47,244","22,777"
9000,"1,427","2,208",861
9001,"938,319","673,220","242,932"
9003,"295,047","142,289","64,298"
9005,"228,322","168,347","66,493"
9007,"46,043","39,929","11,230"
9009,"48,508","32,230","7,293"
9011,"202,957","179,585","62,170"
9013,"61,174","58,209","15,915"
9015,"37,045","25,808","5,924"
10000,"19,223","26,823","9,609"
10001,"195,321","199,461","71,746"
10003,"25,985","37,729","14,727"
10005,"132,263","107,889","35,611"
11000,"37,073","53,843","21,408"
11001,"256,316","83,367","46,510"
12000,"256,316","83,367","46,510"
12001,"3,929,796","4,111,029","1,807,386"
12003,"63,784","33,688","11,474"
12005,"2,282","7,424","3,195"
12007,"27,974","37,958","14,053"
12009,"2,284","6,741","4,501"
12011,"114,274","118,933","36,364"
12013,"404,554","356,051","152,462"
12015,"1,087","4,135","2,400"
12017,"29,781","47,176","14,583"
12019,"19,844","41,717","14,777"
12021,"32,247","41,355","12,382"
12023,"88,358","68,261","37,349"
12027,"7,465","16,946","6,455"
12029,"2,455","9,948","7,208"
12031,769,"5,196","2,673"
12033,"170,527","170,279","67,336"
12035,"50,995","57,693","20,604"
12037,"18,041","25,845","6,904"
12039,"1,498","3,204","1,826"
12041,"5,559","11,336","6,730"
12043,"1,407","4,481","1,971"
12045,884,"4,377","2,548"
12047,"2,023","4,327","2,115"
12049,"1,004","3,793","2,460"
12051,"1,653","6,930","5,344"
12053,"2,183","7,563","8,871"
12055,"21,541","48,116","17,026"
12057,"12,335","27,658","12,519"
12059,"279,420","241,710","108,416"
12061,"1,716","5,236","3,024"
12063,"29,889","33,170","13,677"
12065,"4,852","12,576","7,661"
12067,"2,053","3,521","2,177"
12069,833,"2,285","1,544"
12071,"50,336","77,820","28,388"
12073,"134,901","155,250","65,595"
12075,"75,043","30,814","12,280"
12077,"3,207","11,865","5,199"
12079,702,"2,619","1,176"
12081,"1,630","5,093","2,284"
12083,"72,409","80,344","29,930"
12085,"46,351","93,747","34,257"
12086,"37,133","30,722","11,757"
12087,"510,061","530,213","362,252"
12089,"18,612","17,247","5,385"
12091,"13,679","19,450","5,061"
12093,"39,178","33,974","11,594"
12095,"2,893","10,235","7,593"
12097,"263,443","212,399","101,664"
12099,"37,972","68,390","29,059"
12101,"346,463","254,487","122,162"
12103,"79,415","117,392","41,460"
12105,"210,203","206,971","68,402"
12107,"85,088","157,011","69,994"
12109,"6,459","19,472","10,998"
12111,"65,286","32,656","8,207"
12113,"41,571","69,574","29,740"
12115,"30,324","30,844","11,087"
12117,"103,989","93,887","23,403"
12119,"110,129","71,859","20,332"
12121,"30,177","30,718","9,585"
12123,"3,710","12,340","6,430"
12125,"1,604","6,700","3,475"
12127,839,"4,375","2,830"
12129,"83,990","125,383","40,121"
12131,"3,713","8,337","2,748"
12133,"11,780","11,849","6,754"
13000,"1,935","7,363","3,555"
13001,"1,938,090","1,850,601","932,810"
13003,"1,469","5,025","2,912"
13005,348,"2,087","1,673"
13007,965,"2,998","1,454"
13009,263,993,508
13011,"5,135","10,321","5,114"
13013,"1,376","5,379","3,075"
13015,"7,980","16,018","8,539"
13017,"12,466","23,169","12,391"
13019,"1,203","4,916","2,147"
13021,"1,570","4,966","2,520"
13023,"24,447","32,048","15,620"
13025,"1,407","3,360","1,177"
13027,"1,158","5,552","2,413"
13029,"1,342","4,150","2,268"
13031,"7,168","5,542","2,058"
13033,"11,212","10,942","5,310"
13035,"1,530","5,617","3,336"
13037,"1,664","7,260","3,719"
13039,489,"1,909","1,141"
13043,"7,226","10,371","2,866"
13045,"1,030","2,599","1,791"
13047,"12,891","24,925","13,389"
13049,"8,778","14,206","6,428"
13051,820,"4,226","1,746"
13053,"61,254","46,466","19,940"
13055,"1,533","1,358",501
13057,"1,530","6,767","4,750"
13059,"53,973","36,571","15,569"
13061,"27,008","14,186","9,137"
13063,155,958,368
13065,"31,476","52,575","27,193"
13067,636,"1,709","1,042"
13069,"216,590","91,599","42,421"
13071,"3,612","10,918","5,867"
13073,"3,793","10,872","8,058"
13075,"32,117","22,395","7,456"
13077,"1,538","4,337","2,625"
13079,"25,108","27,871","10,186"
13081,"1,173","3,359","1,740"
13083,"2,289","5,743","3,089"
13085,"1,540","4,031","2,223"
13087,"4,853","4,722","2,199"
13089,"3,037","6,101","3,685"
13091,"202,714","101,302","55,523"
13093,"1,964","6,149","2,684"
13095,"1,121","3,988","2,537"
13097,"11,495","16,488","10,375"
13099,"23,125","27,770","10,386"
13101,984,"2,840","1,414"
13103,201,902,844
13105,"6,563","13,249","4,954"
13107,"1,574","6,094","2,899"
13109,"1,738","5,964","3,290"
13111,"1,077","2,831","1,637"
13113,"3,225","7,060","3,090"
13115,"33,692","15,248","3,993"
13117,"12,580","19,718","12,876"
13119,"63,303","23,123","10,169"
13121,"1,915","6,066","3,549"
13123,"330,446","119,906","57,571"
13125,"3,712","7,467","4,089"
13127,170,896,443
13129,"15,974","15,657","7,027"
13131,"4,802","13,135","9,143"
13133,"2,140","6,235","3,838"
13135,"3,032","4,107","2,163"
13137,"192,547","128,606","68,721"
13139,"5,137","10,046","6,369"
13141,"27,493","33,886","27,771"
13143,711,"2,633","1,769"
13145,"2,655","7,078","4,187"
13147,"6,098","6,178","2,348"
13149,"2,449","6,767","3,424"
13151,824,"3,417","1,658"
13153,"37,401","40,742","14,363"
13155,"23,153","28,238","9,797"
13157,712,"2,776",976
13159,"7,877","13,755","7,551"
13161,954,"3,795","2,101"
13163,"1,024","3,672","2,060"
13165,"1,118","4,440","2,741"
13167,802,"2,447","1,365"
13169,560,"2,423","1,659"
13171,"3,936","7,409","2,426"
13173,"1,997","4,503","1,863"
13175,"1,059","1,976","1,497"
13177,"4,848","14,003","5,450"
13179,"4,578","5,462","2,175"
13181,"6,777","11,290","3,709"
13183,740,"2,391",933
13185,"1,568","3,562","1,310"
13187,"15,741","19,278","10,269"
13189,"5,203","5,594","3,038"
13191,"2,017","5,639","2,863"
13193,"1,417","3,615","1,812"
13195,817,"3,327","2,665"
13197,"3,003","7,709","3,346"
13199,669,"2,328","1,303"
13201,"1,492","5,718","3,373"
13205,465,"1,579",855
13207,"1,840","6,264","3,597"
13209,"4,208","6,719","2,994"
13211,933,"2,314","1,077"
13213,"2,550","4,301","2,039"
13215,"2,804","9,237","8,056"
13217,"32,072","34,423","17,174"
13219,"13,031","20,647","10,268"
13221,"10,672","4,796","1,523"
13223,"1,736","3,864","2,133"
13225,"23,364","31,771","9,865"
13227,"3,370","5,169","2,496"
13229,"5,374","6,450","3,639"
13231,"1,655","5,180","2,308"
13233,"1,831","4,972","1,452"
13235,"3,509","10,060","6,564"
13237,990,"3,599","1,638"
13239,"2,822","5,896","2,459"
13241,135,672,364
13243,"3,209","4,026","1,760"
13245,641,"1,510","1,406"
13247,"27,300","39,964","21,307"
13249,"14,749","18,297","7,315"
13251,492,"1,123",632
13253,"1,381","3,886","1,819"
13255,905,"2,382","1,089"
13257,"6,590","16,250","8,847"
13259,"3,013","6,376","3,235"
13261,438,"1,484","1,593"
13263,"3,856","6,052","4,299"
13265,590,"2,096","1,000"
13267,126,653,471
13269,"1,998","6,778","4,554"
13271,648,"2,049","1,366"
13273,"1,122","5,897","3,358"
13275,740,"1,810","1,636"
13277,"5,948","9,978","5,504"
13279,"4,491","8,835","4,814"
13281,"2,963","6,846","3,567"
13283,"2,032","2,578",861
13285,759,"1,820","1,047"
13287,"8,339","15,788","7,269"
13289,675,"2,005","1,350"
13291,685,"2,114","1,812"
13293,"3,826","6,004","1,929"
13295,"2,393","6,513","3,745"
13297,"7,106","17,343","9,613"
13299,"10,684","21,036","7,647"
13301,"3,053","9,740","4,355"
13303,471,"1,734","1,024"
13305,"1,740","5,758","3,022"
13307,"2,679","8,145","3,592"
13309,170,808,398
13311,281,"3,038","1,333"
13313,"4,104","6,208","3,031"
13315,"8,886","18,715","20,387"
13317,606,"3,115","1,436"
13319,949,"2,888","1,518"
13321,555,"3,217","1,113"
15000,"1,460","5,814","3,225"
15001,"305,201","270,583","84,943"
15003,"37,353","42,946","11,321"
15005,"224,744","176,304","60,284"
15007,25,31,8
15009,"13,779","15,437","4,008"
16000,"29,300","35,865","9,322"
16001,"274,984","289,085","105,170"
16003,"104,188","61,575","15,326"
16005,668,"1,111",303
16007,"14,389","13,858","4,208"
16009,766,"1,531",252
16011,868,"2,466",858
16013,"4,886","8,268","3,817"
16015,"6,298","2,930","1,500"
16017,"1,415","1,453",327
16019,"6,712","9,281","2,949"
16021,"18,334","17,692","5,855"
16023,"1,348","2,909",819
16025,272,641,176
16027,132,189,78
16029,"22,542","39,647","19,503"
16031,797,"1,582",347
16033,"2,544","3,887","2,485"
16035,83,173,166
16037,"1,131","2,473",816
16039,847,"1,004",238
16041,"2,615","4,383","2,170"
16043,"1,479","2,459",758
16045,"1,705","2,768","1,033"
16047,"1,811","4,722","1,503"
16049,"1,365","3,189","2,263"
16051,"2,008","4,404","1,373"
16053,"3,210","4,555","1,940"
16055,"1,942","4,064","3,399"
16057,"24,127","28,170","7,656"
16059,"9,793","4,289",852
16061,"1,257","1,992",506
16063,434,932,286
16065,379,"1,147",691
16067,"5,816","2,384",598
16069,"1,885","3,686","2,792"
16071,"6,149","8,742","2,335"
16073,436,"1,008",171
16075,711,"2,731","1,838"
16077,"2,347","5,027","1,908"
16079,702,"1,684",951
16081,"1,174","3,385","1,313"
16083,"2,716","1,309",600
16085,"9,321","15,037","6,752"
16087,"2,306","1,979",332
17000,"1,076","2,369","1,127"
17001,"2,834,869","2,287,126","1,008,608"
17003,"10,425","16,349","3,842"
17005,432,"1,644","1,201"
17007,"2,184","4,865","1,444"
17009,"7,451","12,270","4,813"
17011,712,"1,951",704
17013,"4,473","9,284","2,206"
17015,537,"1,597",293
17017,"1,772","4,494","1,007"
17019,"1,222","4,098","1,268"
17021,"52,073","26,262","6,337"
17023,"3,615","10,382","2,884"
17025,"1,841","4,356","1,142"
17027,"1,386","3,591","1,079"
17029,"5,647","8,441","2,824"
17031,"8,258","10,153","3,191"
17033,"1,293,518","839,916","503,252"
17035,"2,398","4,755","1,529"
17037,"1,119","2,924",847
17039,"18,738","15,889","4,472"
17041,"2,365","4,307",958
17043,"2,510","4,633","2,103"
17045,"297,773","117,893","47,598"
17047,"2,292","4,669","1,557"
17049,553,"1,680",508
17051,"5,218","8,492","2,058"
17053,"2,066","6,144","2,666"
17055,"1,669","3,617","1,073"
17057,"4,232","9,220","3,405"
17059,"4,251","8,951","3,211"
17061,439,"1,532",527
17063,"1,053","3,995","1,310"
17065,"7,210","12,047","2,337"
17067,912,"2,108",592
17069,"2,631","5,172","1,002"
17071,353,"1,089",525
17073,681,"2,322",570
17075,"7,319","11,586","3,819"
17077,"2,964","8,325","2,288"
17079,"12,597","8,685","2,717"
17081,"1,223","2,509",660
17083,"4,404","8,584","3,792"
17085,"2,837","5,660","1,361"
17087,"3,924","6,035","1,309"
17089,"1,558","2,890","1,554"
17091,"108,181","78,152","56,865"
17093,"13,818","24,804","9,226"
17095,"26,074","18,426","5,195"
17097,"6,516","13,228","4,328"
17099,"197,868","94,844","46,165"
17101,"13,212","28,493","9,001"
17103,"1,226","4,149","2,651"
17105,"4,402","9,029","2,914"
17107,"3,966","10,807","3,058"
17109,"3,851","7,249","2,643"
17111,"6,147","5,289","1,322"
17113,"67,772","54,761","15,060"
17115,"46,413","26,627","4,549"
17117,"16,891","25,735","7,691"
17119,"5,968","12,517","3,285"
17121,"47,164","58,296","13,674"
17123,"3,990","9,492","3,062"
17125,"1,397","3,499",707
17127,"1,428","4,260","1,270"
17129,"1,406","3,583","1,585"
17131,"2,109","3,078",710
17133,"1,985","4,695",918
17135,"7,014","7,601","1,085"
17137,"2,907","8,467","2,928"
17139,"4,954","10,062","2,204"
17141,"1,732","3,544","1,614"
17143,"7,120","12,125","4,215"
17145,"37,008","34,306","12,100"
17147,"2,041","5,839","2,302"
17149,"3,457","4,004",551
17151,"1,717","4,637","1,359"
17153,448,"1,053",416
17155,447,"1,407",700
17157,603,"1,659",352
17159,"3,116","9,835","3,723"
17161,"2,299","3,723","1,421"
17163,"22,160","31,322","11,433"
17165,"46,410","50,485","16,788"
17167,"2,747","5,402","2,394"
17169,"46,737","37,910","10,577"
17171,"1,017","1,979",604
17173,440,"1,826",280
17175,"2,373","7,338","1,208"
17177,699,"1,561",514
17179,"5,819","11,459","3,023"
17181,"23,528","30,929","6,771"
17183,"2,667","4,078","1,799"
17185,"7,538","21,948","6,897"
17187,"1,380","2,599",852
17189,"2,535","3,988","1,480"
17191,"2,141","3,343",953
17193,"1,617","4,057","1,480"
17195,"1,409","3,722","1,265"
17197,"6,863","14,369","4,487"
17199,"147,285","118,245","40,402"
17201,"10,436","14,438","4,619"
17203,"43,682","62,983","24,531"
18000,"7,904","8,504","1,567"
18001,"1,068,062","1,486,051","517,458"
18003,"3,269","8,715","3,300"
18005,"64,373","68,489","25,397"
18007,"16,071","18,896","5,266"
18009,995,"2,629",603
18011,954,"4,195","1,133"
18013,"18,133","10,340","2,785"
18015,"2,588","3,980","1,151"
18017,"2,412","5,645","1,667"
18019,"3,609","10,219","4,445"
18021,"15,846","26,748","9,497"
18023,"3,089","8,169","1,873"
18025,"3,191","9,704","2,980"
18027,726,"3,533","1,283"
18029,"2,813","7,295","5,078"
18031,"6,789","13,657","3,185"
18033,"3,216","7,703","1,934"
18035,"4,911","11,845","2,904"
18037,"16,542","25,314","7,443"
18039,"5,635","11,519","3,434"
18041,"23,234","46,692","24,788"
18043,"1,755","7,082","3,082"
18045,"13,959","16,492","5,514"
18047,"1,673","5,111","1,392"
18049,"2,971","6,531","1,955"
18051,"1,922","5,741","2,121"
18053,"3,571","9,059","2,251"
18055,"7,476","18,337","6,032"
18057,"3,267","9,170","3,278"
18059,"109,822","30,723","7,864"
18061,"14,100","16,133","2,845"
18063,"4,641","11,509","3,112"
18065,"35,607","29,288","6,674"
18067,"5,443","15,032","4,204"
18069,"11,187","20,876","6,586"
18071,"4,693","10,802","2,451"
18073,"4,780","13,573","3,828"
18075,"3,672","9,168","2,886"
18077,"1,517","6,651","2,211"
18079,"3,745","8,703","2,880"
18081,"1,806","8,849","2,901"
18083,"28,762","31,913","8,286"
18085,"3,774","9,066","2,839"
18087,"10,967","19,110","7,870"
18089,"2,458","7,024","7,841"
18091,"67,976","114,779","40,392"
18093,"13,552","29,977","9,606"
18095,"4,584","13,581","3,709"
18097,"15,602","35,173","11,240"
18099,"176,465","171,007","87,220"
18101,"5,725","12,537","4,797"
18103,811,"3,052","1,113"
18105,"2,954","10,554","3,689"
18107,"36,434","18,280","6,273"
18109,"4,282","11,123","2,933"
18111,"7,359","19,953","5,490"
18113,"1,037","4,572","1,394"
18115,"4,438","12,886","4,801"
18117,607,"2,051",500
18119,"1,590","6,016","2,225"
18121,"1,793","6,448","2,348"
18123,"1,417","5,092","1,747"
18125,"1,825","6,949","1,772"
18127,"1,111","4,044","1,207"
18129,"29,539","39,500","9,348"
18131,"3,636","6,865","1,005"
18133,953,"4,113","1,155"
18135,"3,738","10,335","2,883"
18137,"2,278","7,608","2,371"
18139,"3,390","8,399","2,566"
18141,"1,628","5,558","1,787"
18143,"48,979","53,598","21,305"
18145,"2,119","6,957","2,511"
18147,"5,085","13,144","3,747"
18149,"2,218","6,367","1,531"
18151,"1,840","6,568","2,715"
18153,"4,646","8,852","2,684"
18155,"1,890","6,374","2,034"
18157,585,"3,415","1,222"
18159,"35,522","26,774","9,325"
18161,"2,301","4,301","1,283"
18163,923,"2,221",589
18165,"30,503","41,381","12,518"
18167,"1,432","4,992","1,215"
18169,"16,030","22,820","8,517"
18171,"4,020","9,229","2,649"
18173,"1,157","2,554",534
18175,"11,717","13,771","3,004"
18177,"2,410","8,656","2,748"
18179,"7,917","18,105","7,055"
18181,"3,259","7,565","1,651"
18183,"2,627","7,237","1,741"
19000,"4,194","9,488","2,260"
19001,"559,431","656,680","169,966"
19003,874,"2,279",349
19005,459,"1,102",207
19007,"1,678","3,977","1,170"
19009,"1,622","3,192",906
19011,553,"1,783",439
19013,"3,792","6,231","1,259"
19015,"22,473","27,236","7,644"
19017,"4,125","6,323","1,023"
19019,"4,505","5,580",759
19021,"2,511","5,662","1,072"
19023,"2,402","3,923","2,796"
19025,"1,646","4,237",852
19027,"1,296","2,565",547
19029,"3,003","5,529",990
19031,"1,878","4,053",918
19033,"2,841","4,663",856
19035,"6,739","9,686","2,070"
19037,"1,612","2,925",791
19039,"1,210","3,688",812
19041,956,"2,749",578
19043,"2,397","3,971",778
19045,"1,928","5,629","1,138"
19047,"6,412","12,077","2,787"
19049,"1,285","4,155","2,369"
19051,"24,144","9,899","2,273"
19053,916,"2,112",737
19055,"1,001","1,851",650
19057,"1,794","5,182","1,109"
19059,"5,436","9,736","2,164"
19061,"3,671","3,705",552
19063,"18,713","22,234","4,903"
19065,"1,173","2,286",700
19067,"2,726","5,361","1,424"
19069,"2,183","3,920","1,221"
19071,"1,213","2,772",824
19073,"1,071","1,779",395
19075,"1,139","2,370",459
19077,"2,168","2,956",401
19079,"1,556","2,965",601
19081,"2,344","3,354",827
19083,"1,549","2,850",565
19085,"2,466","4,091","1,005"
19087,"1,749","3,829",905
19089,"2,568","5,098","1,095"
19091,848,"2,789",711
19093,"1,330","2,469",460
19095,939,"1,986",329
19097,"2,112","4,626",898
19099,"2,269","5,954","1,217"
19101,"4,618","10,514","1,949"
19103,"4,117","3,614",630
19105,"43,620","13,712","4,374"
19107,"2,442","5,768","1,158"
19109,"1,217","3,070",620
19111,"2,095","4,063",611
19113,"3,606","10,192","2,025"
19115,"46,773","39,519","7,792"
19117,"1,020","2,854","1,325"
19119,"1,006","2,745",499
19121,"1,616","2,832",712
19123,"2,381","3,962",598
19125,"3,599","5,605","1,339"
19127,"5,499","7,747","1,534"
19129,"5,273","8,820","4,127"
19131,"2,433","3,592",685
