Year,City,Sport,Discipline,Athlete,Country_Code,Country,Gender,Event,Medal,Country_Population,Country_GDP_per_Capita
1984,Los Angeles,Aquatics,Swimming,"JOHANSSON, Per",SWE,Sweden,Men,100M Freestyle,Bronze,9798871,50579.67365
1984,Los Angeles,Aquatics,Swimming,"GAINES, Ambrose Iv",USA,United States,Men,100M Freestyle,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"STOCKWELL, Marcus",AUS,Australia,Men,100M Freestyle,Silver,23781169,56310.96299
1984,Los Angeles,Aquatics,Swimming,"VERSTAPPEN, Annemarie",NED,Netherlands,Women,100M Freestyle,Bronze,16936520,44299.76809
1984,Los Angeles,Aquatics,Swimming,"HOGSHEAD, Nancy Lynn",USA,United States,Women,100M Freestyle,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"STEINSEIFER, Carolyn",USA,United States,Women,100M Freestyle,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"O'BRIEN, Michael Jon",USA,United States,Men,1500M Freestyle,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"DICARLO, George Thomas",USA,United States,Men,1500M Freestyle,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"HENNING, Cameron",CAN,Canada,Men,200M Backstroke,Bronze,35851774,43248.52991
1984,Los Angeles,Aquatics,Swimming,"CAREY, Richard John",USA,United States,Men,200M Backstroke,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"DELCOURT, Frederic",FRA,France,Men,200M Backstroke,Silver,66808385,36205.5681
1984,Los Angeles,Aquatics,Swimming,"DE ROVER, Jolanda",NED,Netherlands,Women,200M Backstroke,Gold,16936520,44299.76809
1984,Los Angeles,Aquatics,Swimming,"WHITE, Amy Lee",USA,United States,Women,200M Backstroke,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"DAGON, Etienne",SUI,Switzerland,Men,200M Breaststroke,Bronze,8286976,80945.07922
1984,Los Angeles,Aquatics,Swimming,"DAVIS, Victor",CAN,Canada,Men,200M Breaststroke,Gold,35851774,43248.52991
1984,Los Angeles,Aquatics,Swimming,"BERINGEN, Glenn",AUS,Australia,Men,200M Breaststroke,Silver,23781169,56310.96299
1984,Los Angeles,Aquatics,Swimming,"LEMPEREUR, Ingrid",BEL,Belgium,Women,200M Breaststroke,Bronze,11285721,40324.02777
1984,Los Angeles,Aquatics,Swimming,"OTTENBRITE, Anne",CAN,Canada,Women,200M Breaststroke,Gold,35851774,43248.52991
1984,Los Angeles,Aquatics,Swimming,"RAPP, Susan Gerard",USA,United States,Women,200M Breaststroke,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"VIDAL CASTRO, Rafael Antonio",VEN,Venezuela,Men,200M Butterfly,Bronze,31108083,0
1984,Los Angeles,Aquatics,Swimming,"SIEBEN, Jonathan",AUS,Australia,Men,200M Butterfly,Gold,23781169,56310.96299
1984,Los Angeles,Aquatics,Swimming,"MEAGHER, Mary T.",USA,United States,Women,200M Butterfly,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"PHILLIPS, Karen",AUS,Australia,Women,200M Butterfly,Silver,23781169,56310.96299
1984,Los Angeles,Aquatics,Swimming,"HEATH, Michael Steward",USA,United States,Men,200M Freestyle,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"VERSTAPPEN, Annemarie",NED,Netherlands,Women,200M Freestyle,Bronze,16936520,44299.76809
1984,Los Angeles,Aquatics,Swimming,"WAYTE, Mary Alice",USA,United States,Women,200M Freestyle,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"WOODHEAD, Cynthia Lee",USA,United States,Women,200M Freestyle,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"COCHRAN, Neil",GBR,United Kingdom,Men,200M Individual Medley,Bronze,65138232,43875.96961
1984,Los Angeles,Aquatics,Swimming,"BAUMANN, Alexander",CAN,Canada,Men,200M Individual Medley,Gold,35851774,43248.52991
1984,Los Angeles,Aquatics,Swimming,"MORALES, Pablo",USA,United States,Men,200M Individual Medley,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"PEARSON, Michelle",AUS,Australia,Women,200M Individual Medley,Bronze,23781169,56310.96299
1984,Los Angeles,Aquatics,Swimming,"CAULKINS, Tracy Anne",USA,United States,Women,200M Individual Medley,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"HOGSHEAD, Nancy Lynn",USA,United States,Women,200M Individual Medley,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"LEMBERG, Justin",AUS,Australia,Men,400M Freestyle,Bronze,23781169,56310.96299
1984,Los Angeles,Aquatics,Swimming,"DICARLO, George Thomas",USA,United States,Men,400M Freestyle,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"MYKKANEN, John Cary",USA,United States,Men,400M Freestyle,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"CROFT, June",GBR,United Kingdom,Women,400M Freestyle,Bronze,65138232,43875.96961
1984,Los Angeles,Aquatics,Swimming,"COHEN, Tiffany Lisa",USA,United States,Women,400M Freestyle,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"HARDCASTLE, Sarah",GBR,United Kingdom,Women,400M Freestyle,Silver,65138232,43875.96961
1984,Los Angeles,Aquatics,Swimming,"WOODHOUSE, Robert",AUS,Australia,Men,400M Individual Medley,Bronze,23781169,56310.96299
1984,Los Angeles,Aquatics,Swimming,"BAUMANN, Alexander",CAN,Canada,Men,400M Individual Medley,Gold,35851774,43248.52991
1984,Los Angeles,Aquatics,Swimming,"PRADO, Ricardo",BRA,Brazil,Men,400M Individual Medley,Silver,207847528,8538.589975
1984,Los Angeles,Aquatics,Swimming,"CAULKINS, Tracy Anne",USA,United States,Women,400M Individual Medley,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"LANDELLS, Suzanne",AUS,Australia,Women,400M Individual Medley,Silver,23781169,56310.96299
1984,Los Angeles,Aquatics,Swimming,"BARON, Bengt",SWE,Sweden,Men,4X100M Freestyle Relay,Bronze,9798871,50579.67365
1984,Los Angeles,Aquatics,Swimming,"JOHANSSON, Per",SWE,Sweden,Men,4X100M Freestyle Relay,Bronze,9798871,50579.67365
1984,Los Angeles,Aquatics,Swimming,"LEJDSTROM, Thomas",SWE,Sweden,Men,4X100M Freestyle Relay,Bronze,9798871,50579.67365
1984,Los Angeles,Aquatics,Swimming,"ORN, Mikael",SWE,Sweden,Men,4X100M Freestyle Relay,Bronze,9798871,50579.67365
1984,Los Angeles,Aquatics,Swimming,"BIONDI, Matthew",USA,United States,Men,4X100M Freestyle Relay,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"CAVANAUGH, Christopher Carl",USA,United States,Men,4X100M Freestyle Relay,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"GAINES, Ambrose Iv",USA,United States,Men,4X100M Freestyle Relay,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"HEATH, Michael Steward",USA,United States,Men,4X100M Freestyle Relay,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"BROOKS, Neil",AUS,Australia,Men,4X100M Freestyle Relay,Silver,23781169,56310.96299
1984,Los Angeles,Aquatics,Swimming,"DELANY, Michael",AUS,Australia,Men,4X100M Freestyle Relay,Silver,23781169,56310.96299
1984,Los Angeles,Aquatics,Swimming,"FASALA, Gregory",AUS,Australia,Men,4X100M Freestyle Relay,Silver,23781169,56310.96299
1984,Los Angeles,Aquatics,Swimming,"STOCKWELL, Marcus",AUS,Australia,Men,4X100M Freestyle Relay,Silver,23781169,56310.96299
1984,Los Angeles,Aquatics,Swimming,"HOGSHEAD, Nancy Lynn",USA,United States,Women,4X100M Freestyle Relay,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"JOHNSON, Jenna Leigh",USA,United States,Women,4X100M Freestyle Relay,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"STEINSEIFER, Carolyn",USA,United States,Women,4X100M Freestyle Relay,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"TORRES, Dara",USA,United States,Women,4X100M Freestyle Relay,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"REIJERS, Desi",NED,Netherlands,Women,4X100M Freestyle Relay,Silver,16936520,44299.76809
1984,Los Angeles,Aquatics,Swimming,"VAN BENTUM, Conny",NED,Netherlands,Women,4X100M Freestyle Relay,Silver,16936520,44299.76809
1984,Los Angeles,Aquatics,Swimming,"VERSTAPPEN, Annemarie",NED,Netherlands,Women,4X100M Freestyle Relay,Silver,16936520,44299.76809
1984,Los Angeles,Aquatics,Swimming,"VOSKES, Elles",NED,Netherlands,Women,4X100M Freestyle Relay,Silver,16936520,44299.76809
1984,Los Angeles,Aquatics,Swimming,"BUCHANAN, Glenn",AUS,Australia,Men,4X100M Medley Relay,Bronze,23781169,56310.96299
1984,Los Angeles,Aquatics,Swimming,"EVANS, Peter",AUS,Australia,Men,4X100M Medley Relay,Bronze,23781169,56310.96299
1984,Los Angeles,Aquatics,Swimming,"KERRY, Mark",AUS,Australia,Men,4X100M Medley Relay,Bronze,23781169,56310.96299
1984,Los Angeles,Aquatics,Swimming,"STOCKWELL, Marcus",AUS,Australia,Men,4X100M Medley Relay,Bronze,23781169,56310.96299
1984,Los Angeles,Aquatics,Swimming,"CAREY, Richard John",USA,United States,Men,4X100M Medley Relay,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"GAINES, Ambrose Iv",USA,United States,Men,4X100M Medley Relay,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"LUNDQUIST, Steven K.",USA,United States,Men,4X100M Medley Relay,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"MORALES, Pablo",USA,United States,Men,4X100M Medley Relay,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"DAVIS, Victor",CAN,Canada,Men,4X100M Medley Relay,Silver,35851774,43248.52991
1984,Los Angeles,Aquatics,Swimming,"GOSS, Donald Alexander",CAN,Canada,Men,4X100M Medley Relay,Silver,35851774,43248.52991
1984,Los Angeles,Aquatics,Swimming,"PONTING, Thomas",CAN,Canada,Men,4X100M Medley Relay,Silver,35851774,43248.52991
1984,Los Angeles,Aquatics,Swimming,"WEST, Michael",CAN,Canada,Men,4X100M Medley Relay,Silver,35851774,43248.52991
1984,Los Angeles,Aquatics,Swimming,"ABDO, Reema",CAN,Canada,Women,4X100M Medley Relay,Bronze,35851774,43248.52991
1984,Los Angeles,Aquatics,Swimming,"MAC PHERSON, Michelle",CAN,Canada,Women,4X100M Medley Relay,Bronze,35851774,43248.52991
1984,Los Angeles,Aquatics,Swimming,"OTTENBRITE, Anne",CAN,Canada,Women,4X100M Medley Relay,Bronze,35851774,43248.52991
1984,Los Angeles,Aquatics,Swimming,"RAI, Pamela",CAN,Canada,Women,4X100M Medley Relay,Bronze,35851774,43248.52991
1984,Los Angeles,Aquatics,Swimming,"ANDREWS, Theresa",USA,United States,Women,4X100M Medley Relay,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"CAULKINS, Tracy Anne",USA,United States,Women,4X100M Medley Relay,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"HOGSHEAD, Nancy Lynn",USA,United States,Women,4X100M Medley Relay,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"MEAGHER, Mary T.",USA,United States,Women,4X100M Medley Relay,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"ASTBURY, Andrew",GBR,United Kingdom,Men,4X200M Freestyle Relay,Bronze,65138232,43875.96961
1984,Los Angeles,Aquatics,Swimming,"COCHRAN, Neil",GBR,United Kingdom,Men,4X200M Freestyle Relay,Bronze,65138232,43875.96961
1984,Los Angeles,Aquatics,Swimming,"EASTER, Paul Robert",GBR,United Kingdom,Men,4X200M Freestyle Relay,Bronze,65138232,43875.96961
1984,Los Angeles,Aquatics,Swimming,"HOWE, Paul Tony",GBR,United Kingdom,Men,4X200M Freestyle Relay,Bronze,65138232,43875.96961
1984,Los Angeles,Aquatics,Swimming,"FLOAT, Jeffrey James",USA,United States,Men,4X200M Freestyle Relay,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"HAYES, Lawrence Bruce",USA,United States,Men,4X200M Freestyle Relay,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"HEATH, Michael Steward",USA,United States,Men,4X200M Freestyle Relay,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"LARSON, David Erwin",USA,United States,Men,4X200M Freestyle Relay,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"HARDCASTLE, Sarah",GBR,United Kingdom,Women,800M Freestyle,Bronze,65138232,43875.96961
1984,Los Angeles,Aquatics,Swimming,"COHEN, Tiffany Lisa",USA,United States,Women,800M Freestyle,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"RICHARDSON, Michele",USA,United States,Women,800M Freestyle,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Synchronized S.,"KIMURA, Saeko",JPN,Japan,Women,Duet,Bronze,126958472,32477.21514
1984,Los Angeles,Aquatics,Synchronized S.,"MOTOYOSHI, Miwako",JPN,Japan,Women,Duet,Bronze,126958472,32477.21514
1984,Los Angeles,Aquatics,Synchronized S.,"COSTIE, Candace",USA,United States,Women,Duet,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Synchronized S.,"RUIZ-CONFORTO, Tracie Lehuanani",USA,United States,Women,Duet,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Synchronized S.,"HAMBROOK, Sharon",CAN,Canada,Women,Duet,Silver,35851774,43248.52991
1984,Los Angeles,Aquatics,Synchronized S.,"KRYCZKA, Kelly",CAN,Canada,Women,Duet,Silver,35851774,43248.52991
1984,Los Angeles,Aquatics,Synchronized S.,"MOTOYOSHI, Miwako",JPN,Japan,Women,Solo,Bronze,126958472,32477.21514
1984,Los Angeles,Aquatics,Synchronized S.,"RUIZ-CONFORTO, Tracie Lehuanani",USA,United States,Women,Solo,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Synchronized S.,"WALDO, Carolyn",CAN,Canada,Women,Solo,Silver,35851774,43248.52991
1984,Los Angeles,Aquatics,Water polo,"BURKE, Douglas Lambert",USA,United States,Men,Water Polo,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Water polo,"CAMPBELL, George Peter",USA,United States,Men,Water Polo,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Water polo,"CAMPBELL, Jodocus David",USA,United States,Men,Water Polo,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Water polo,"DORST, Christopher Taylor",USA,United States,Men,Water Polo,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Water polo,"FIGUEROA, Gary Lee",USA,United States,Men,Water Polo,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Water polo,"MCDONALD, Andrew J.",USA,United States,Men,Water Polo,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Water polo,"ROBERTSON, Kevin George",USA,United States,Men,Water Polo,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Water polo,"SCHROEDER, Terence Alan",USA,United States,Men,Water Polo,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Water polo,"SHAW, Timothy Andrew",USA,United States,Men,Water Polo,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Water polo,"SIMAN, John O'Connell",USA,United States,Men,Water Polo,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Water polo,"SVENDSEN, Jon Howard",USA,United States,Men,Water Polo,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Water polo,"VARGAS, Joseph Michael",USA,United States,Men,Water Polo,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Water polo,"WILSON, Craig Martin",USA,United States,Men,Water Polo,Silver,321418820,56115.71843
1984,Los Angeles,Archery,Archery,"YAMAMOTO, Hiroshi",JPN,Japan,Men,Individual Fita Round,Bronze,126958472,32477.21514
1984,Los Angeles,Archery,Archery,"PACE, Darrell Owen",USA,United States,Men,Individual Fita Round,Gold,321418820,56115.71843
1984,Los Angeles,Archery,Archery,"MCKINNEY, Richard Lee",USA,United States,Men,Individual Fita Round,Silver,321418820,56115.71843
1984,Los Angeles,Archery,Archery,"KIM, Jin-Ho",KOR,"Korea, South",Women,Individual Fita Round,Bronze,50617045,27221.52405
1984,Los Angeles,Archery,Archery,"SEO, Hyang-Soon",KOR,"Korea, South",Women,Individual Fita Round,Gold,50617045,27221.52405
1984,Los Angeles,Archery,Archery,"LI, Ling-Juan",CHN,China,Women,Individual Fita Round,Silver,1371220000,8027.68381
1984,Los Angeles,Athletics,Athletics,"MUSYOKI, Michael",KEN,Kenya,Men,10000M,Bronze,46050302,1376.712829
1984,Los Angeles,Athletics,Athletics,"COVA, Alberto",ITA,Italy,Men,10000M,Gold,60802085,29957.80432
1984,Los Angeles,Athletics,Athletics,"MCLEOD, Michael",GBR,United Kingdom,Men,10000M,Silver,65138232,43875.96961
1984,Los Angeles,Athletics,Athletics,"JOHNSON, Ben",CAN,Canada,Men,100M,Bronze,35851774,43248.52991
1984,Los Angeles,Athletics,Athletics,"LEWIS, Carl",USA,United States,Men,100M,Gold,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"GRADDY, Samuel Louis",USA,United States,Men,100M,Silver,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"OTTEY-PAGE, Merlene",JAM,Jamaica,Women,100M,Bronze,2725941,5232.024583
1984,Los Angeles,Athletics,Athletics,"ASHFORD, Evelyn",USA,United States,Women,100M,Gold,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"BROWN, Alice Regina",USA,United States,Women,100M,Silver,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"CHARDONNET, Michele",FRA,France,Women,100M Hurdles,Bronze,66808385,36205.5681
1984,Los Angeles,Athletics,Athletics,"TURNER, Kim",USA,United States,Women,100M Hurdles,Bronze,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"FITZGERALD-BROWN, Benita",USA,United States,Women,100M Hurdles,Gold,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"STRONG, Shirley",GBR,United Kingdom,Women,100M Hurdles,Silver,65138232,43875.96961
1984,Los Angeles,Athletics,Athletics,"BRYGGARE, Arto",FIN,Finland,Men,110M Hurdles,Bronze,5482013,42311.03623
1984,Los Angeles,Athletics,Athletics,"KINGDOM, Roger",USA,United States,Men,110M Hurdles,Gold,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"FOSTER, Gregory",USA,United States,Men,110M Hurdles,Silver,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"ABASCAL GOMEZ, Jose Manuel",ESP,Spain,Men,1500M,Bronze,46418269,25831.58231
1984,Los Angeles,Athletics,Athletics,"COE, Sebastian",GBR,United Kingdom,Men,1500M,Gold,65138232,43875.96961
1984,Los Angeles,Athletics,Athletics,"CRAM, Stephen",GBR,United Kingdom,Men,1500M,Silver,65138232,43875.96961
1984,Los Angeles,Athletics,Athletics,"DORIO, Gabriella",ITA,Italy,Women,1500M,Gold,60802085,29957.80432
1984,Los Angeles,Athletics,Athletics,"JEFFERSON, Thomas Theodore",USA,United States,Men,200M,Bronze,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"LEWIS, Carl",USA,United States,Men,200M,Gold,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"BAPTISTE, Kirk",USA,United States,Men,200M,Silver,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"OTTEY-PAGE, Merlene",JAM,Jamaica,Women,200M,Bronze,2725941,5232.024583
1984,Los Angeles,Athletics,Athletics,"BRISCO-HOOKS, Valerie Ann",USA,United States,Women,200M,Gold,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"GRIFFITH-JOYNER, Florence",USA,United States,Women,200M,Silver,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"DAMILANO, Maurizio",ITA,Italy,Men,20KM Walk,Bronze,60802085,29957.80432
1984,Los Angeles,Athletics,Athletics,"CANTO GUDINO, Ernesto",MEX,Mexico,Men,20KM Walk,Gold,127017224,9005.024265
1984,Los Angeles,Athletics,Athletics,"GONZALEZ, Raul",MEX,Mexico,Men,20KM Walk,Silver,127017224,9005.024265
1984,Los Angeles,Athletics,Athletics,"WILLIAMS, Lynn",CAN,Canada,Women,3000M,Bronze,35851774,43248.52991
1984,Los Angeles,Athletics,Athletics,"SLY, Wendy",GBR,United Kingdom,Women,3000M,Silver,65138232,43875.96961
1984,Los Angeles,Athletics,Athletics,"DIEMER, Brian Lee",USA,United States,Men,3000M Steeplechase,Bronze,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"KORIR, Julius",KEN,Kenya,Men,3000M Steeplechase,Gold,46050302,1376.712829
1984,Los Angeles,Athletics,Athletics,"MAHMOUD, Joseph",FRA,France,Men,3000M Steeplechase,Silver,66808385,36205.5681
1984,Los Angeles,Athletics,Athletics,"MCKAY, Antonio Ricardo",USA,United States,Men,400M,Bronze,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"BABERS, Alonzo C.",USA,United States,Men,400M,Gold,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"TIACOH, Gabriel",CIV,Cote d'Ivoire,Men,400M,Silver,22701556,1398.989958
1984,Los Angeles,Athletics,Athletics,"SMALLWOOD-COOK, Kathryn",GBR,United Kingdom,Women,400M,Bronze,65138232,43875.96961
1984,Los Angeles,Athletics,Athletics,"BRISCO-HOOKS, Valerie Ann",USA,United States,Women,400M,Gold,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"CHEESEBOROUGH, Chandra Danette",USA,United States,Women,400M,Silver,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"MOSES, Edwin",USA,United States,Men,400M Hurdles,Gold,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"HARRIS, Daniel Lee",USA,United States,Men,400M Hurdles,Silver,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"EL MOUTAWAKEL, Nawal",MAR,Morocco,Women,400M Hurdles,Gold,34377511,2878.201342
1984,Los Angeles,Athletics,Athletics,"BROWN, Judith Lynne",USA,United States,Women,400M Hurdles,Silver,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"HINDS, Sterling",CAN,Canada,Men,4X100M Relay,Bronze,35851774,43248.52991
1984,Los Angeles,Athletics,Athletics,"JOHNSON, Ben",CAN,Canada,Men,4X100M Relay,Bronze,35851774,43248.52991
1984,Los Angeles,Athletics,Athletics,"SHARPE, Anthony",CAN,Canada,Men,4X100M Relay,Bronze,35851774,43248.52991
1984,Los Angeles,Athletics,Athletics,"WILLIAMS, Desai",CAN,Canada,Men,4X100M Relay,Bronze,35851774,43248.52991
1984,Los Angeles,Athletics,Athletics,"BROWN, Ronald James",USA,United States,Men,4X100M Relay,Gold,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"GRADDY, Samuel Louis",USA,United States,Men,4X100M Relay,Gold,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"LEWIS, Carl",USA,United States,Men,4X100M Relay,Gold,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"SMITH, Calvin",USA,United States,Men,4X100M Relay,Gold,321418820,56115.71843
1984,Los Angeles,Athletics,Athletics,"LAWRENCE, Albert",JAM,Jamaica,Men,4X100M Relay,Silver,2725941,5232.024583
1984,Los Angeles,Athletics,Athletics,"MEGHOO, Gregory",JAM,Jamaica,Men,4X100M Relay,Silver,2725941,5232.024583
