Id,Title,Year,Runtime,Country,imdbRating,imdbVotes,Budget,Gross,WinsNoms,IsGoodRating
5183,Final Destination,2000,98,"USA, Canada",6.7,180662,23000000,112036870,6,0
5214,From Hell,2001,122,USA,6.8,124630,35000000,68712365,9,1
5241,Get Over It,2001,87,USA,5.8,15535,10000000,19860259,4,0
5253,Glitter,2001,104,USA,2.1,19309,8500000,4273372,13,0
5300,Head Over Heels,2001,86,USA,5.3,11624,14000000,10397365,0,0
5301,Heartbreakers,2001,123,USA,6.2,44154,38000000,57753825,4,1
5414,Jeepers Creepers,2001,90,"Germany, USA",6.1,87034,10000000,58939035,9,1
5613,Metropolitan,1990,98,USA,7.5,6998,430000,2938000,13,1
5732,On the Line,2001,85,USA,4.1,3661,10000000,4690802,4,0
5749,Original Sin,2001,116,"France, USA",6,44875,26000000,16521410,2,0
5751,Orphan,2009,123,"USA, Canada, Germany",7,141082,20000000,78769428,7,1
5902,Saving Silverman,2001,90,"USA, Australia",5.9,33286,22000000,25873142,0,0
5903,Say It Isn't So,2001,95,USA,4.9,11267,25000000,5516708,1,0
5929,Serendipity,2001,90,USA,6.9,85296,28000000,77477297,3,1
5931,Session 9,2001,97,USA,6.5,43771,1500000,1619602,3,1
5987,Soul Survivors,2001,84,USA,3.9,7276,14000000,4288246,0,0
6037,Summer Catch,2001,108,USA,4.9,12981,17000000,19693891,1,0
6054,Sweet November,2001,119,USA,6.7,70301,40000000,65754228,3,0
6114,Town & Country,2001,104,USA,4.4,4102,105000000,10364769,6,0
6144,Two Can Play That Game,2001,90,USA,6.1,4334,13000000,22391450,7,0
6164,Valentine,2001,96,USA,4.7,20455,10000000,20384136,1,0
6167,Vanilla Sky,2001,136,"USA, Spain",6.9,206599,70000000,202726605,38,1
6300,Piranha 3D,2010,88,"USA, Canada, Netherlands",5.5,72642,24000000,83660160,14,1
6333,All the Pretty Horses,2000,116,USA,5.8,11383,45000000,18120267,15,0
6385,Autumn in New York,2000,103,USA,5.5,20204,40000000,90717684,3,0
6413,Beautiful Creatures,2013,124,USA,6.2,67648,50000000,60282876,9,1
6417,Bedazzled,2000,93,"USA, Germany",6,81910,48000000,90376224,4,1
6422,My Best Friend's Wedding,1997,105,USA,6.3,98117,46000000,298923419,35,1
6446,Bless the Child,2000,107,"USA, Germany",5.1,12084,40000000,40435694,6,0
6462,Book of Shadows: Blair Witch 2,2000,90,USA,4,28916,15000000,47721314,7,0
6472,Bounce,2000,106,USA,5.7,17544,35000000,53425292,4,1
6479,Boys and Girls,2000,94,USA,5.3,13555,16000000,21799652,0,0
6528,Cast Away,2000,143,USA,7.7,394236,85000000,427230516,50,1
6570,Closer,2004,104,"USA, UK",7.3,168149,35000000,115476509,66,1
6665,Down to You,2000,91,USA,4.9,12329,9000000,20035310,4,0
6814,Gladiator,2000,155,"USA, UK",8.5,982571,103000000,457683805,159,1
6835,Gun Shy,2000,101,USA,5.7,5933,10000000,1638202,0,0
6861,Here on Earth,2000,96,USA,5.1,7410,15000000,10845127,2,0
6877,Hollow Man,2000,112,"USA, Germany",5.7,101269,90000000,191200000,17,0
6887,Housebound,2014,107,New Zealand,6.8,23274,1500000,236863,25,1
6894,I Dreamed of Africa,2000,114,USA,5.6,3740,34000000,6543194,2,0
6926,Isn't She Great,2000,95,"USA, UK, Germany, Japan",5.3,1984,36000000,2954405,2,0
6973,Keeping the Faith,2000,128,USA,6.4,44781,29000000,45336404,7,1
7038,Loser,2000,98,USA,5.3,23094,20000000,18250106,1,0
7044,Lost Souls,2000,97,USA,4.8,9348,28000000,31320293,2,0
7065,Luminarias,2000,100,USA,3.6,504,1000000,428535,6,1
7183,Nutty Professor II: The Klumps,2000,106,USA,4.3,39365,84000000,166307945,14,0
7255,Pitch Black,2000,109,USA,7.1,194091,23000000,53182088,6,1
7328,Return to Me,2000,115,USA,6.9,16340,24000000,32662299,3,1
7381,Scream 3,2000,116,USA,5.5,98447,40000000,161838076,10,1
7613,Urban Legends: Final Cut,2000,97,"USA, France",4.1,13062,15000000,38574362,2,0
7651,What Lies Beneath,2000,130,USA,6.6,98370,90000000,288693989,10,1
7659,Where the Heart Is,2000,120,USA,6.8,27086,15000000,40862054,3,0
7661,Whipped,2000,82,USA,4.4,3655,3000000,4142507,1,0
7670,Woman on Top,2000,92,USA,5.3,8411,8000000,10192613,2,0
7702,200 Cigarettes,1999,101,USA,5.9,12936,6000000,6852450,2,0
7759,Anna and the King,1999,148,USA,6.7,31074,75000000,39251128,14,1
7773,At First Sight,1999,128,USA,5.9,11222,40000000,22365133,0,1
7840,Blast from the Past,1999,112,USA,6.6,48128,35000000,26613620,1,1
7956,Creature,2011,93,USA,3.7,2486,3000000,331000,1,0
7961,Cruel Intentions,1999,97,USA,6.9,148896,11000000,75803716,20,1
8002,Deuce Bigalow: Male Gigolo,1999,88,USA,5.7,59360,18000000,92935067,2,0
8036,Dreaming of Joseph Lees,1999,92,"USA, UK",6.4,700,3250000,7680,4,1
8042,Dudley Do-Right,1999,77,USA,3.8,8117,22000000,9818792,0,0
8067,End of Days,1999,121,USA,5.7,89609,100000000,212026975,8,0
8071,Entrapment,1999,113,"USA, UK, Germany",6.2,88156,66000000,211700000,10,1
8128,For Love of the Game,1999,137,USA,6.5,26006,50000000,46112640,7,1
8202,"Happy, Texas",1999,98,USA,6.3,8706,1700000,2891228,12,1
8249,House on Haunted Hill,1999,93,USA,5.6,45308,19000000,65090541,3,0
8270,Idle Hands,1999,92,USA,6.2,33798,15000000,4023741,2,0
8355,Lake Placid,1999,82,USA,5.6,42779,27000000,31770413,0,0
8401,Love Happens,2009,109,"USA, Canada, UK",5.6,25376,18000000,36133014,1,0
8426,Mama,2013,100,"Canada, Spain",6.2,135007,15000000,148095566,28,1
8463,Message in a Bottle,1999,131,USA,6.1,28904,30000000,52880016,6,1
8466,Mickey Blue Eyes,1999,102,"UK, USA",5.8,29930,40000000,53864342,0,1
8478,Molly,1999,102,USA,5.8,2294,21000000,17396,0,0
8545,Notting Hill,1999,124,"UK, USA",7,203171,42000000,363728226,29,1
8586,Outside Providence,1999,96,USA,6.4,7733,7000000,7824358,1,1
8650,Pushing Tin,1999,124,"USA, Germany",6,24810,33000000,8408835,2,1
8662,Random Hearts,1999,133,USA,5.1,17014,64000000,63200000,0,0
8669,Ravenous,1999,101,"Czech Republic, UK, USA",7.1,29971,12000000,2062406,5,1
8707,Runaway Bride,1999,116,USA,5.5,74153,70000000,310138178,15,1
8770,She's All That,1999,95,USA,5.8,67014,10000000,63465522,13,0
8795,Sleepy Hollow,1999,105,"USA, Germany",7.4,266129,70000000,207068340,63,1
8845,Stigmata,1999,103,USA,6.2,54389,32000000,89441732,6,0
8875,Superstar,1999,81,USA,5,14939,14000000,30628981,2,0
8913,Three to Tango,1999,98,"Australia, USA",6.1,16359,20000000,10570375,0,0
8999,Varsity Blues,1999,106,USA,6.4,34988,16000000,54294169,7,0
9046,Wolves,2014,91,"France, Canada",5.3,5673,18000000,20000000,0,0
9072,eXistenZ,1999,97,"Canada, UK",6.8,77319,20700000,2840417,10,1
9147,Arthur,2011,110,USA,5.7,45553,40000000,47787943,8,0
9188,Beloved,1998,172,USA,5.9,6050,53000000,22852487,27,1
9213,Blade,1998,120,USA,7.1,191207,45000000,131237688,12,1
9244,Bride of Chucky,1998,89,"Canada, USA",5.3,39742,25000000,50692188,8,1
9257,Bulworth,1998,108,USA,6.8,22002,30000000,29203383,19,1
9267,Can't Hardly Wait,1998,100,USA,6.5,37917,10000000,25358996,2,1
9367,Deep Rising,1998,106,"USA, Canada",6,26591,45000000,11203026,1,0
9393,Disturbing Behavior,1998,84,"Australia, USA, Canada",5.5,17304,15000000,17507368,2,0
9438,Ever After: A Cinderella Story,1998,121,USA,7,57438,26000000,65705772,21,1
9594,Home Fries,1998,91,USA,5,7124,15000000,10513979,0,0
9600,Hope Floats,1998,114,USA,5.9,18973,30000000,81529000,12,0
9607,How Stella Got Her Groove Back,1998,124,USA,5.5,5411,20000000,37672944,12,1
9617,I Still Know What You Did Last Summer,1998,100,USA,4.6,55533,24000000,40020622,11,0
9728,Living Out Loud,1998,100,USA,6.6,4038,12000000,12905901,5,1
9773,Meet Joe Black,1998,178,USA,7.1,168953,85000000,44650003,8,1
9852,No Looking Back,1998,96,USA,5.9,1731,5000000,143273,0,1
9885,Out of Sight,1998,123,USA,7,71778,48000000,77562568,27,1
9984,Restless,2011,91,USA,6.8,15016,8000000,2818394,1,0
10223,Twilight,2008,122,USA,5.2,348026,37000000,402280159,40,1
10238,Urban Legend,1998,99,"USA, France",5.5,47702,14000000,72571864,2,0
10241,Vampires,1998,108,"USA, Japan",6.1,42633,20000000,20268825,8,1
10273,What Dreams May Come,1998,113,"USA, New Zealand",7,83430,80000000,71485043,9,1
10298,Woo,1998,84,USA,3.8,1522,13000000,8064972,0,0
10308,You've Got Mail,1998,119,USA,6.5,151528,65000000,250800000,13,1
10354,Adam,2009,99,USA,7.2,29127,3200000,2828590,4,1
10371,Alien: Resurrection,1997,109,USA,6.3,169778,60000000,160700000,24,1
10387,Anaconda,1997,89,"USA, Brazil, Peru",4.6,73633,45000000,136998907,16,0
10393,Anna Karenina,2012,129,UK,6.6,70857,49000000,71004627,81,1
10524,Chasing Amy,1997,113,USA,7.3,113841,250000,15155095,21,1
10656,Event Horizon,1997,96,"UK, USA",6.7,120219,60000000,26673242,2,0
10691,First Daughter,2004,106,USA,4.9,16992,30000000,10419084,0,0
10802,I Know What You Did Last Summer,1997,101,USA,5.6,105368,17000000,125250091,10,1
10863,Killers,2010,100,USA,5.4,72826,75000000,95572749,5,0
10908,Liar Liar,1997,86,USA,6.8,220065,45000000,302710615,10,1
10935,Love Jones,1997,104,USA,7.4,2793,10000000,12554569,9,1
11067,No Strings Attached,2011,108,USA,6.2,168529,25000000,149228078,8,1
11093,Oscar and Lucinda,1997,132,"USA, Australia, UK",6.7,5619,12500000,1612957,18,1
11149,Prefontaine,1997,106,USA,6.8,5675,8000000,590817,0,1
11224,Scream 2,1997,120,USA,6.1,124833,24000000,101363301,16,1
11282,Spawn,1997,96,USA,5.2,52792,40000000,87949859,6,0
11283,Speed 2: Cruise Control,1997,121,USA,3.7,60564,110000000,150468000,8,0
11360,Titanic,1997,194,USA,7.7,791196,200000000,2207615668,194,1
11845,From Dusk Till Dawn,1996,108,USA,7.3,218721,20000000,25728961,13,1
11968,Jerry Maguire,1996,139,USA,7.3,189801,50000000,274000000,63,1
12119,Mo' Better Blues,1990,130,USA,6.5,8294,10000000,16153000,4,1
12131,Mrs. Winterbourne,1996,105,USA,6.2,5631,25000000,10039566,1,0
12133,Multiplicity,1996,117,USA,6,24765,45000000,20133326,0,1
12202,Phenomenon,1996,123,USA,6.4,63895,32000000,152036382,15,1
12290,Scream,1996,111,USA,7.2,221921,15000000,173046663,15,1
12312,She's the One,1996,96,USA,6.1,13938,3500000,13795053,2,1
12413,Thinner,1996,93,USA,5.7,19781,14000000,15171475,1,0
12424,Tin Cup,1996,135,USA,6.3,37869,45000000,75854588,3,1
12461,Up Close & Personal,1996,124,USA,6.1,11363,60000000,100645801,6,0
12482,Walking and Talking,1996,86,"UK, USA, Germany",6.8,2593,1000000,1615787,7,1
12526,Twilight Zone: The Movie,1983,101,USA,6.5,25684,10000000,29500000,9,1
12600,Before Sunrise,1995,105,"USA, Austria, Switzerland",8.1,183000,25000000,5677093,8,1
12634,Boomerang,1992,117,USA,5.4,20162,42000000,131052444,5,0
12747,Tales from the Crypt: Demon Knight,1995,92,USA,6.7,16624,12000000,21089146,1,0
12827,First Knight,1995,134,"USA, UK",5.9,55310,75000000,127361412,0,1
12882,Halloween: The Curse of Michael Myers,1995,87,USA,4.9,20850,5000000,15126948,2,0
12906,Home for the Holidays,1995,103,USA,6.6,9110,20000000,22119269,2,1
13039,Mallrats,1995,94,USA,7.2,98934,6100000,2108367,0,1
13041,Man of the Year,2006,115,USA,6.2,27890,20000000,41342180,1,0
13307,Species,1995,108,USA,5.8,61030,35000000,113354449,9,0
13336,Tales from the Hood,1995,98,USA,6.1,4528,6000000,11784569,0,0
13392,Vampire in Brooklyn,1995,100,USA,4.5,17296,14000000,19637147,0,0
13582,Brainstorm,1983,106,USA,6.5,8445,15000000,8921050,8,1
13759,Four Weddings and a Funeral,1994,117,UK,7.1,107843,4500000,242895809,45,1
13855,Interview with the Vampire: The Vampire Chronicles,1994,123,USA,7.6,239486,50000000,223564608,41,1
14094,Priest,2011,87,USA,5.7,97020,60000000,84154026,3,0
14654,Groundhog Day,1993,101,USA,8.1,437177,14600000,70906973,14,1
14717,Jason Goes to Hell: The Final Friday,1993,87,USA,4.3,19320,3000000,15935068,3,0
14827,Much Ado About Nothing,1993,111,"UK, USA",7.4,37254,8000000,22549338,14,1
14887,Poetic Justice,1993,109,USA,5.9,8884,14000000,27450453,9,0
14940,Ruby in Paradise,1993,114,USA,7.2,2032,800000,1001437,10,1
14962,Sex and the City,2008,145,USA,5.5,98389,57500000,415247258,13,1
15015,Supernova,2000,90,"USA, Switzerland",4.8,14577,60000000,14218868,0,0
15499,Medicine Man,1992,106,USA,6,17443,40000000,44948240,1,0
15501,Memoirs of an Invisible Man,1992,99,"USA, France",5.9,17346,40000000,14358033,5,0
15776,Ultraviolet,2006,88,USA,4.4,70299,30000000,30962112,2,0
16066,Freddy's Dead: The Final Nightmare,1991,89,USA,4.9,30743,5000000,34872033,4,0
16336,Return to the Blue Lagoon,1991,102,USA,5.1,14132,11000000,2000000,6,0
16515,Arachnophobia,1990,103,USA,6.3,50439,31000000,53208180,7,1
16598,Child's Play 2,1990,84,USA,5.7,31338,13000000,34166572,1,0
16684,Edward Scissorhands,1990,105,USA,7.9,357038,20000000,53976987,22,1
16710,Flatliners,1990,115,USA,6.5,62105,26000000,61308153,3,1
16724,Ghost,1990,127,USA,7,154075,22000000,517600000,40,1
16736,Gremlins 2: The New Batch,1990,106,USA,6.3,68192,50000000,41476097,6,1
16966,Predator 2,1990,108,USA,6.2,105793,35000000,54768418,5,0
16968,Pretty Woman,1990,119,USA,6.9,213275,14000000,432645872,19,1
17104,Tremors,1990,96,USA,7.1,89905,10000000,16667084,5,1
17220,Australia,2008,165,"Australia, USA, UK",6.6,102343,130000000,215080810,45,1
17430,Friday the 13th Part VIII: Jason Takes Manhattan,1989,100,"USA, Canada",4.5,23003,5000000,14343976,2,0
17434,It's Kind of a Funny Story,2010,101,USA,7.2,105914,8000000,6632950,2,1
17635,New York Stories,1989,124,USA,6.4,13594,15000000,10763469,1,1
17686,Pet Sematary,1989,103,USA,6.6,63840,11500000,57469179,6,1
17718,Red Riding Hood,2011,100,"USA, Canada",5.4,91007,42000000,91678442,5,0
18025,Child's Play,1988,87,USA,6.5,61913,9000000,44196684,5,1
18144,Friday the 13th Part VII: The New Blood,1988,88,USA,5.3,21325,2800000,19170001,4,0
18173,Halloween 4: The Return of Michael Myers,1988,88,USA,5.9,29195,5000000,17768757,2,0
18246,Lady in White,1988,112,USA,6.7,4696,4700000,1705139,5,1
18315,My Stepmother Is an Alien,1988,105,USA,5.2,21080,16000000,13854000,4,0
18316,Mystic Pizza,1988,104,USA,6.2,18320,6000000,12793213,5,1
18357,Phantasm II,1988,97,USA,6.5,9503,3000000,7000000,2,0
18370,Poltergeist III,1988,98,USA,4.5,13166,9500000,14114000,2,0
18383,Pulse,2006,90,USA,4.7,24971,20500000,30241435,1,0
18504,They Live,1988,93,USA,7.3,73494,4000000,13000000,3,1
18711,Creepshow 2,1987,92,USA,6,15975,3500000,14000000,1,0
18785,Evil Dead II,1987,84,USA,7.8,113371,3500000,5923044,5,1
18792,Fatal Attraction,1987,119,USA,6.9,55017,14000000,320100000,29,1
18849,Hellraiser,1987,94,UK,7,76399,1000000,14564000,7,1
18963,Maurice,1987,140,UK,7.8,10786,2600000,3130592,5,1
19060,Predator,1987,107,USA,7.8,290318,18000000,98267558,8,1
19159,Stranded,2013,84,"Canada, UK",3.5,3344,1900000,285593,0,0
19524,Invaders from Mars,1986,100,USA,5.5,5208,12000000,4984663,2,0
19565,Legal Eagles,1986,116,USA,5.9,7778,40000000,49851591,1,1
19573,Little Shop of Horrors,1986,94,USA,6.9,49349,30000000,38747385,15,1
19735,She's Gotta Have It,1986,84,USA,6.5,4649,175000,7137502,4,1
19793,Top Gun,1986,110,USA,6.9,218871,15000000,356800601,16,1
20030,Fright Night,2011,106,USA,6.4,84986,30000000,40520649,9,1
20115,Lifeforce,1985,116,"UK, USA",6.1,15531,25000000,11603545,3,1
20139,Mata Hari,1931,89,USA,6.7,2422,558000,900000,0,1
20197,Out of Africa,1985,161,"USA, UK",7.2,52254,31000000,258210860,57,1
20297,Silver Bullet,1985,95,"USA, Netherlands",6.3,16508,7000000,10803211,1,1
20397,Witness,1985,112,USA,7.4,66968,12000000,65532576,38,1
20486,C.H.U.D.,1984,88,USA,5.5,7544,1250000,4700000,2,0
20561,Firestarter,1984,114,USA,6,22552,15000000,15136870,2,0
20594,Gremlins,1984,106,USA,7.2,141795,11000000,148168459,13,1
20832,Splash,1984,111,USA,6.2,54549,8000000,62599495,11,1
21068,Flashdance,1983,95,USA,6.1,35125,7000000,201463574,25,0
21380,Videodrome,1983,87,Canada,7.3,60424,5952000,2120439,10,1
21415,50/50,2011,100,USA,7.7,270012,8000000,41334735,40,1
21488,By the Sea,2015,122,"USA, France",5.2,7917,20000000,3407430,1,0
21492,Cat People,1982,118,USA,6.1,14232,12500000,21000000,3,1
21515,Creepshow,1982,120,USA,6.9,29931,8000000,20036244,2,1
21827,Tootsie,1982,116,USA,7.4,77235,15000000,177200000,54,1
21844,Venom,2005,87,USA,4.7,8019,25000000,881745,0,0
21998,Endless Love,2014,104,USA,6.3,31242,20000000,34614964,1,0
22029,Friday the 13th Part 2,1981,87,USA,6.1,39589,1250000,21722776,3,0
22049,Halloween II,1981,92,USA,6.5,50830,2500000,25533818,3,0
22139,My Bloody Valentine,2009,101,USA,5.5,45569,14000000,102836002,1,1
22214,Roar,1981,102,USA,6.4,1262,17000000,2110050,0,1
22458,Dressed to Kill,1980,105,USA,7.1,23891,6500000,31899000,11,1
22650,Prom Night,2008,88,"USA, Canada",3.9,27506,18000000,57193655,4,0
22698,Somewhere in Time,1980,103,USA,7.3,21026,5100000,9709597,10,1
22724,Terror Train,1980,97,"Canada, USA",5.9,6539,3500000,8000000,5,0
22744,Tusk,2014,102,USA,5.4,30942,3000000,1821983,5,1
22756,Virus,1999,99,"USA, UK, Germany, Japan, France",4.8,21950,75000000,30626690,0,0
